Timestamp,Name,Email,Phone number,Matching Keywords,Screening Decision
2025-02-11 01:39:10,John Doe,john.doe@gmail.com,(+1) 1234567890,C/C++,PASS
2025-02-11 01:39:10,Jane Doe,jane.doe@gmail.com,(+1) 1234567890,C/C++,PASS
2025-02-11 01:39:10,Jim Doe,jim.doe@gmail.com,(+1) 1234567890,C/C++,PASS
2025-02-11 01:39:10,Jill Doe,jill.doe@gmail.com,(+1) 1234567890,C/C++,PASS
2025-02-11 01:39:10,Jack Doe,jack.doe@gmail.com,(+1) 1234567890,C/C++,PASS


2025-10-20 07:30:38,Interview Candidate,N/A,N/A,Voice Interview,NO HIRE
2025-10-21 16:29:35,Interview Candidate,N/A,N/A,Voice Interview,NO HIRE
2026-06-02 09:03:32,Interview Candidate,N/A,N/A,Voice Interview (Flask UI),MAYBE
2026-06-02 13:01:09,Interview Candidate,N/A,N/A,Voice Interview (Flask UI),NO HIRE
